R: 000, G: 000, B: 000
R: 015, G: 015, B: 015
R: 031, G: 031, B: 031
R: 047, G: 047, B: 047
R: 063, G: 063, B: 063
R: 075, G: 075, B: 075
R: 091, G: 091, B: 091
R: 107, G: 107, B: 107
R: 123, G: 123, B: 123
R: 139, G: 139, B: 139
R: 155, G: 155, B: 155
R: 171, G: 171, B: 171
R: 187, G: 187, B: 187
R: 203, G: 203, B: 203
R: 219, G: 219, B: 219
R: 235, G: 235, B: 235
R: 015, G: 011, B: 007
R: 023, G: 015, B: 011
R: 031, G: 023, B: 011
R: 039, G: 027, B: 015
R: 047, G: 035, B: 019
R: 055, G: 043, B: 023
R: 063, G: 047, B: 023
R: 075, G: 055, B: 027
R: 083, G: 059, B: 027
R: 091, G: 067, B: 031
R: 099, G: 075, B: 031
R: 107, G: 083, B: 031
R: 115, G: 087, B: 031
R: 123, G: 095, B: 035
R: 131, G: 103, B: 035
R: 143, G: 111, B: 035
R: 011, G: 011, B: 015
R: 019, G: 019, B: 027
R: 027, G: 027, B: 039
R: 039, G: 039, B: 051
R: 047, G: 047, B: 063
R: 055, G: 055, B: 075
R: 063, G: 063, B: 087
R: 071, G: 071, B: 103
R: 079, G: 079, B: 115
R: 091, G: 091, B: 127
R: 099, G: 099, B: 139
R: 107, G: 107, B: 151
R: 115, G: 115, B: 163
R: 123, G: 123, B: 175
R: 131, G: 131, B: 187
R: 139, G: 139, B: 203
R: 000, G: 000, B: 000
R: 007, G: 007, B: 000
R: 011, G: 011, B: 000
R: 019, G: 019, B: 000
R: 027, G: 027, B: 000
R: 035, G: 035, B: 000
R: 043, G: 043, B: 007
R: 047, G: 047, B: 007
R: 055, G: 055, B: 007
R: 063, G: 063, B: 007
R: 071, G: 071, B: 007
R: 075, G: 075, B: 011
R: 083, G: 083, B: 011
R: 091, G: 091, B: 011
R: 099, G: 099, B: 011
R: 107, G: 107, B: 015
R: 007, G: 000, B: 000
R: 015, G: 000, B: 000
R: 023, G: 000, B: 000
R: 031, G: 000, B: 000
R: 039, G: 000, B: 000
R: 047, G: 000, B: 000
R: 055, G: 000, B: 000
R: 063, G: 000, B: 000
R: 071, G: 000, B: 000
R: 079, G: 000, B: 000
R: 087, G: 000, B: 000
R: 095, G: 000, B: 000
R: 103, G: 000, B: 000
R: 111, G: 000, B: 000
R: 119, G: 000, B: 000
R: 127, G: 000, B: 000
R: 019, G: 019, B: 000
R: 027, G: 027, B: 000
R: 035, G: 035, B: 000
R: 047, G: 043, B: 000
R: 055, G: 047, B: 000
R: 067, G: 055, B: 000
R: 075, G: 059, B: 007
R: 087, G: 067, B: 007
R: 095, G: 071, B: 007
R: 107, G: 075, B: 011
R: 119, G: 083, B: 015
R: 131, G: 087, B: 019
R: 139, G: 091, B: 019
R: 151, G: 095, B: 027
R: 163, G: 099, B: 031
R: 175, G: 103, B: 035
R: 035, G: 019, B: 007
R: 047, G: 023, B: 011
R: 059, G: 031, B: 015
R: 075, G: 035, B: 019
R: 087, G: 043, B: 023
R: 099, G: 047, B: 031
R: 115, G: 055, B: 035
R: 127, G: 059, B: 043
R: 143, G: 067, B: 051
R: 159, G: 079, B: 051
R: 175, G: 099, B: 047
R: 191, G: 119, B: 047
R: 207, G: 143, B: 043
R: 223, G: 171, B: 039
R: 239, G: 203, B: 031
R: 255, G: 243, B: 027
R: 011, G: 007, B: 000
R: 027, G: 019, B: 000
R: 043, G: 035, B: 015
R: 055, G: 043, B: 019
R: 071, G: 051, B: 027
R: 083, G: 055, B: 035
R: 099, G: 063, B: 043
R: 111, G: 071, B: 051
R: 127, G: 083, B: 063
R: 139, G: 095, B: 071
R: 155, G: 107, B: 083
R: 167, G: 123, B: 095
R: 183, G: 135, B: 107
R: 195, G: 147, B: 123
R: 211, G: 163, B: 139
R: 227, G: 179, B: 151
R: 171, G: 139, B: 163
R: 159, G: 127, B: 151
R: 147, G: 115, B: 135
R: 139, G: 103, B: 123
R: 127, G: 091, B: 111
R: 119, G: 083, B: 099
R: 107, G: 075, B: 087
R: 095, G: 063, B: 075
R: 087, G: 055, B: 067
R: 075, G: 047, B: 055
R: 067, G: 039, B: 047
R: 055, G: 031, B: 035
R: 043, G: 023, B: 027
R: 035, G: 019, B: 019
R: 023, G: 011, B: 011
R: 015, G: 007, B: 007
R: 187, G: 115, B: 159
R: 175, G: 107, B: 143
R: 163, G: 095, B: 131
R: 151, G: 087, B: 119
R: 139, G: 079, B: 107
R: 127, G: 075, B: 095
R: 115, G: 067, B: 083
R: 107, G: 059, B: 075
R: 095, G: 051, B: 063
R: 083, G: 043, B: 055
R: 071, G: 035, B: 043
R: 059, G: 031, B: 035
R: 047, G: 023, B: 027
R: 035, G: 019, B: 019
R: 023, G: 011, B: 011
R: 015, G: 007, B: 007
R: 219, G: 195, B: 187
R: 203, G: 179, B: 167
R: 191, G: 163, B: 155
R: 175, G: 151, B: 139
R: 163, G: 135, B: 123
R: 151, G: 123, B: 111
R: 135, G: 111, B: 095
R: 123, G: 099, B: 083
R: 107, G: 087, B: 071
R: 095, G: 075, B: 059
R: 083, G: 063, B: 051
R: 067, G: 051, B: 039
R: 055, G: 043, B: 031
R: 039, G: 031, B: 023
R: 027, G: 019, B: 015
R: 015, G: 011, B: 007
R: 111, G: 131, B: 123
R: 103, G: 123, B: 111
R: 095, G: 115, B: 103
R: 087, G: 107, B: 095
R: 079, G: 099, B: 087
R: 071, G: 091, B: 079
R: 063, G: 083, B: 071
R: 055, G: 075, B: 063
R: 047, G: 067, B: 055
R: 043, G: 059, B: 047
R: 035, G: 051, B: 039
R: 031, G: 043, B: 031
R: 023, G: 035, B: 023
R: 015, G: 027, B: 019
R: 011, G: 019, B: 011
R: 007, G: 011, B: 007
R: 255, G: 243, B: 027
R: 239, G: 223, B: 023
R: 219, G: 203, B: 019
R: 203, G: 183, B: 015
R: 187, G: 167, B: 015
R: 171, G: 151, B: 011
R: 155, G: 131, B: 007
R: 139, G: 115, B: 007
R: 123, G: 099, B: 007
R: 107, G: 083, B: 000
R: 091, G: 071, B: 000
R: 075, G: 055, B: 000
R: 059, G: 043, B: 000
R: 043, G: 031, B: 000
R: 027, G: 015, B: 000
R: 011, G: 007, B: 000
R: 000, G: 000, B: 255
R: 011, G: 011, B: 239
R: 019, G: 019, B: 223
R: 027, G: 027, B: 207
R: 035, G: 035, B: 191
R: 043, G: 043, B: 175
R: 047, G: 047, B: 159
R: 047, G: 047, B: 143
R: 047, G: 047, B: 127
R: 047, G: 047, B: 111
R: 047, G: 047, B: 095
R: 043, G: 043, B: 079
R: 035, G: 035, B: 063
R: 027, G: 027, B: 047
R: 019, G: 019, B: 031
R: 011, G: 011, B: 015
R: 043, G: 000, B: 000
R: 059, G: 000, B: 000
R: 075, G: 007, B: 000
R: 095, G: 007, B: 000
R: 111, G: 015, B: 000
R: 127, G: 023, B: 007
R: 147, G: 031, B: 007
R: 163, G: 039, B: 011
R: 183, G: 051, B: 015
R: 195, G: 075, B: 027
R: 207, G: 099, B: 043
R: 219, G: 127, B: 059
R: 227, G: 151, B: 079
R: 231, G: 171, B: 095
R: 239, G: 191, B: 119
R: 247, G: 211, B: 139
R: 167, G: 123, B: 059
R: 183, G: 155, B: 055
R: 199, G: 195, B: 055
R: 231, G: 227, B: 087
R: 127, G: 191, B: 255
R: 171, G: 231, B: 255
R: 215, G: 255, B: 255
R: 103, G: 000, B: 000
R: 139, G: 000, B: 000
R: 179, G: 000, B: 000
R: 215, G: 000, B: 000
R: 255, G: 000, B: 000
R: 255, G: 243, B: 147
R: 255, G: 247, B: 199
R: 255, G: 255, B: 255
R: 159, G: 091, B: 083
